'IF1409'	IF1409	分时
时间	成交价	成交量	成交额

14/08/12 09:15	2371.0000	80.00	56904000

14/08/12 09:16	2367.0000	1407.00	999299520

14/08/12 09:17	2368.0000	644.00	457394048

14/08/12 09:18	2369.2000	608.00	432027008

14/08/12 09:19	2368.6001	366.00	260148736

14/08/12 09:20	2368.3999	285.00	202526720

14/08/12 09:21	2366.6001	410.00	291203328

14/08/12 09:22	2367.6001	425.00	301767680

14/08/12 09:23	2366.8000	223.00	158354176

14/08/12 09:24	2367.6001	182.00	129255168

14/08/12 09:25	2368.2000	203.00	144207360

14/08/12 09:26	2366.0000	606.00	430237952

14/08/12 09:27	2364.8000	613.00	434929152

14/08/12 09:28	2363.6001	448.00	317727744

14/08/12 09:29	2363.6001	459.00	325398528

14/08/12 09:30	2364.0000	502.00	356141056

14/08/12 09:31	2364.8000	348.00	246829568

14/08/12 09:32	2364.3999	449.00	318510592

14/08/12 09:33	2366.2000	398.00	282415616

14/08/12 09:34	2365.2000	467.00	331440128

14/08/12 09:35	2365.8000	252.00	178788352

14/08/12 09:36	2364.8000	292.00	207201792

14/08/12 09:37	2362.6001	1039.00	736588800

14/08/12 09:38	2365.3999	819.00	581072896

14/08/12 09:39	2365.3999	280.00	198710272

14/08/12 09:40	2365.3999	361.00	256169472

14/08/12 09:41	2368.2000	775.00	550433792

14/08/12 09:42	2367.8000	549.00	390053888

14/08/12 09:43	2367.6001	500.00	355090432

14/08/12 09:44	2367.6001	244.00	173293568

14/08/12 09:45	2365.2000	373.00	264803328

14/08/12 09:46	2360.8000	2103.00	1490099200

14/08/12 09:47	2361.6001	686.00	486028288

14/08/12 09:48	2361.2000	479.00	339387392

14/08/12 09:49	2360.2000	781.00	553091072

14/08/12 09:50	2361.3999	676.00	478733312

14/08/12 09:51	2360.3999	493.00	349165568

14/08/12 09:52	2360.3999	326.00	230857728

14/08/12 09:53	2361.3999	242.00	171411456

14/08/12 09:54	2362.0000	489.00	346491904

14/08/12 09:55	2361.8000	362.00	256568320

14/08/12 09:56	2359.8000	1134.00	802792448

14/08/12 09:57	2359.8000	663.00	469374976

14/08/12 09:58	2358.6001	766.00	542066688

14/08/12 09:59	2359.0000	496.00	350995456

14/08/12 10:00	2359.2000	615.00	435200000

14/08/12 10:01	2359.0000	639.00	452235264

14/08/12 10:02	2359.6001	297.00	210206720

14/08/12 10:03	2361.3999	495.00	350535680

14/08/12 10:04	2361.3999	428.00	303138816

14/08/12 10:05	2360.8000	316.00	223821824

14/08/12 10:06	2361.0000	267.00	189097984

14/08/12 10:07	2359.3999	396.00	280446976

14/08/12 10:08	2362.3999	714.00	505874432

14/08/12 10:09	2360.8000	441.00	312432640

14/08/12 10:10	2360.0000	562.00	397815808

14/08/12 10:11	2359.6001	465.00	329148416

14/08/12 10:12	2359.6001	243.00	172029952

14/08/12 10:13	2361.3999	338.00	239429632

14/08/12 10:14	2362.2000	457.00	323819520

14/08/12 10:15	2362.6001	399.00	282802176

14/08/12 10:16	2361.2000	577.00	408801280

14/08/12 10:17	2361.3999	223.00	157986816

14/08/12 10:18	2362.3999	166.00	117628928

